ax,ay,az,gx,gy,gz,mx,my,mz
0.03,-0.10,1.00,-0.55,0.06,0.06,66.00,-8.00,-13.00
0.03,-0.10,1.00,-0.55,0.00,0.06,67.00,-5.00,-16.00
0.03,-0.10,1.00,-0.61,0.06,0.00,66.00,-6.00,-20.00
0.03,-0.10,1.00,-0.67,0.12,0.06,65.00,-6.00,-17.00
0.03,-0.10,1.00,-0.61,0.00,0.06,66.00,-7.00,-18.00
0.03,-0.10,1.00,-0.61,0.06,0.00,64.00,-4.00,-15.00
0.03,-0.10,1.00,-0.55,0.00,0.00,64.00,-5.00,-16.00
0.03,-0.10,1.00,-0.61,0.06,0.00,65.00,-7.00,-18.00
0.03,-0.10,1.00,-0.61,0.06,-0.06,68.00,-5.00,-13.00
0.03,-0.10,1.00,-0.61,0.06,0.00,66.00,-7.00,-18.00
0.03,-0.10,1.00,-0.61,0.00,0.06,65.00,-6.00,-17.00
0.03,-0.10,1.00,-0.61,0.00,0.06,67.00,-8.00,-20.00
0.03,-0.10,1.00,-0.61,0.06,0.00,68.00,-7.00,-12.00
0.03,-0.10,1.00,-0.61,0.06,0.06,67.00,-4.00,-17.00
0.03,-0.10,1.00,-0.61,0.06,0.06,65.00,-6.00,-21.00
0.03,-0.10,1.00,-0.61,0.00,0.00,66.00,-5.00,-18.00
0.03,-0.10,1.00,-0.67,0.06,0.00,67.00,-5.00,-15.00
0.03,-0.10,1.00,-0.55,0.06,0.00,65.00,-9.00,-19.00
0.03,-0.10,1.00,-0.55,0.00,0.06,66.00,-6.00,-14.00
0.03,-0.10,1.00,-0.61,0.06,-0.06,67.00,-6.00,-16.00
0.03,-0.10,1.00,-0.61,0.00,-0.06,67.00,-7.00,-16.00
0.03,-0.10,1.00,-0.67,0.06,0.00,65.00,-7.00,-14.00
0.03,-0.10,1.00,-0.67,0.06,0.06,66.00,-6.00,-17.00
0.03,-0.10,1.00,-0.61,0.12,0.00,66.00,-8.00,-23.00
0.03,-0.10,1.00,-0.55,0.06,-0.06,67.00,-6.00,-16.00
0.03,-0.10,1.00,-0.61,0.06,0.00,66.00,-5.00,-22.00
0.03,-0.10,1.00,-0.55,0.06,0.00,67.00,-8.00,-16.00
0.03,-0.10,1.00,-0.55,0.06,0.00,68.00,-6.00,-16.00
0.03,-0.10,1.00,-0.55,0.00,0.06,66.00,-7.00,-16.00
0.03,-0.10,1.00,-0.61,0.06,0.06,65.00,-8.00,-19.00
0.03,-0.10,1.00,-0.67,0.06,-0.06,66.00,-8.00,-20.00
0.03,-0.10,1.00,-0.55,0.06,0.00,65.00,-6.00,-20.00
0.03,-0.10,1.00,-0.55,0.06,0.00,66.00,-7.00,-12.00
0.03,-0.10,1.00,-0.61,0.06,0.06,66.00,-5.00,-16.00
0.03,-0.10,1.00,-0.49,0.00,0.06,67.00,-5.00,-18.00
0.03,-0.10,1.00,-0.67,0.06,0.00,67.00,-6.00,-13.00
0.03,-0.10,1.00,-0.55,0.00,0.00,67.00,-5.00,-18.00
0.03,-0.10,1.00,-0.61,0.06,0.06,66.00,-6.00,-17.00
0.03,-0.10,1.00,-0.55,0.00,0.00,67.00,-5.00,-14.00
0.03,-0.10,1.00,-0.61,0.00,0.06,68.00,-7.00,-16.00
0.03,-0.10,1.00,-0.61,0.06,0.06,67.00,-7.00,-18.00
0.03,-0.10,1.00,-0.61,0.12,0.06,66.00,-8.00,-19.00
0.03,-0.10,1.00,-0.55,0.00,0.00,67.00,-6.00,-17.00
0.03,-0.10,1.00,-0.61,0.12,0.06,67.00,-9.00,-13.00
0.03,-0.10,1.00,-0.61,0.06,0.00,66.00,-5.00,-18.00
0.03,-0.10,1.00,-0.61,0.06,-0.06,68.00,-4.00,-17.00
0.03,-0.10,1.00,-0.61,0.06,0.00,67.00,-5.00,-18.00
0.03,-0.10,1.00,-0.67,0.12,0.00,67.00,-8.00,-14.00
0.03,-0.10,1.00,-0.67,0.06,0.00,67.00,-6.00,-14.00
0.03,-0.10,1.00,-0.67,0.00,0.00,67.00,-4.00,-10.00
0.03,-0.10,1.00,-0.55,0.00,0.00,67.00,-5.00,-15.00
0.03,-0.10,1.00,-0.61,0.00,0.12,67.00,-8.00,-15.00
0.03,-0.10,1.00,-0.61,0.06,0.06,67.00,-4.00,-16.00
0.03,-0.10,1.00,-0.49,0.06,0.06,66.00,-3.00,-19.00
0.03,-0.10,1.00,-0.55,0.00,0.00,66.00,-5.00,-14.00
0.03,-0.10,1.00,-0.49,0.00,0.24,67.00,-6.00,-14.00
0.03,-0.10,1.00,-0.55,0.00,0.00,65.00,-6.00,-19.00
0.03,-0.10,1.00,-0.61,0.06,0.00,67.00,-7.00,-16.00
