ax,ay,az,gx,gy,gz,mx,my,mz
0.02,-0.03,1.01,-0.49,0.12,0.00,52.00,-4.00,-10.00
0.02,-0.03,1.01,-0.55,0.06,0.06,53.00,-5.00,-13.00
0.02,-0.03,1.01,-0.55,0.12,0.00,49.00,-5.00,-12.00
0.02,-0.03,1.01,-0.55,0.12,0.00,51.00,-6.00,-11.00
0.02,-0.03,1.01,-0.61,0.18,0.00,51.00,-4.00,-13.00
0.02,-0.04,1.01,-0.61,0.06,0.00,51.00,-5.00,-12.00
0.02,-0.03,1.01,-0.55,0.12,0.00,51.00,-5.00,-10.00
0.02,-0.03,1.01,-0.67,0.12,0.00,49.00,-4.00,-9.00
0.02,-0.03,1.01,-0.49,0.12,0.12,53.00,-4.00,-14.00
0.02,-0.04,1.01,-0.55,0.12,-0.06,52.00,-4.00,-14.00
0.02,-0.04,1.01,-0.67,0.12,0.00,48.00,-5.00,-10.00
0.02,-0.04,1.01,-0.61,0.12,0.00,50.00,-6.00,-11.00
0.02,-0.04,1.01,-0.55,0.06,0.06,53.00,-6.00,-11.00
0.02,-0.04,1.01,-0.61,0.06,0.06,52.00,-5.00,-12.00
0.02,-0.04,1.01,-3.66,1.65,-0.12,50.00,-6.00,-17.00
-0.03,0.06,1.01,-4.21,3.91,14.10,51.00,-4.00,-8.00
0.02,0.00,1.01,-27.65,-16.85,-0.49,51.00,-6.00,-12.00
-0.05,0.08,1.08,-75.62,2.69,6.10,53.00,-2.00,-17.00
-0.05,0.04,1.03,135.74,5.55,5.92,56.00,-1.00,-9.00
-0.07,0.14,1.01,70.62,18.98,-30.70,60.00,-2.00,-3.00
-0.03,0.11,1.00,-55.97,13.24,5.37,65.00,-5.00,-8.00
-0.02,0.09,1.04,20.26,17.52,4.64,63.00,-7.00,-13.00
0.05,0.16,0.98,-9.70,22.52,12.21,59.00,-11.00,-16.00
0.11,0.20,0.94,-7.81,22.09,11.72,57.00,-11.00,-10.00
0.23,0.23,1.07,-3.78,12.63,-8.91,57.00,-13.00,-8.00
0.16,0.05,0.76,-11.17,-3.36,-2.99,60.00,-15.00,-9.00
0.30,0.01,0.93,93.81,1.59,-18.43,65.00,-12.00,-4.00
0.33,0.02,1.07,-9.77,-35.71,10.25,75.00,2.00,0.00
0.35,0.00,1.38,16.24,3.11,-5.98,72.00,11.00,-2.00
0.39,-0.15,1.05,28.56,-5.86,22.77,67.00,11.00,3.00
