ax,ay,az,gx,gy,gz,mx,my,mz,acc_mag,rms_acc,acc_var,classification
0.85,-0.55,-0.06,4.58,25.09,-2.44,-1.0,-56.0,-25.0,1.0141991914806479,,,Unknown
0.84,-0.56,-0.11,-14.71,22.4,-1.71,-2.0,-57.0,-24.0,1.0155294185792945,,,Unknown
0.83,-0.54,-0.1,-8.36,25.33,-1.22,-3.0,-58.0,-18.0,0.995238664843765,,,Unknown
0.81,-0.59,-0.19,-15.81,26.31,-2.56,0.0,-56.0,-15.0,1.0199509792141974,,,Unknown
0.81,-0.57,-0.16,-12.39,20.57,-0.31,1.0,-55.0,-14.0,1.0032945728947207,,,Unknown
0.8,-0.58,-0.18,-12.39,24.78,0.24,4.0,-55.0,-11.0,1.0043903623591777,,,Unknown
0.78,-0.57,-0.19,-27.77,23.38,-3.17,5.0,-54.0,-7.0,0.9845811292118085,,,Unknown
0.76,-0.59,-0.25,-24.17,17.21,-3.05,10.0,-52.0,-7.0,0.9940824915468535,,,Unknown
0.76,-0.62,-0.24,-24.35,14.65,-2.44,10.0,-50.0,-5.0,1.009752444909147,,,Unknown
0.75,-0.63,-0.22,-20.75,9.09,-1.34,12.0,-48.0,-10.0,1.0038924245156948,,,Unknown
0.74,-0.65,-0.21,-31.56,6.71,-0.37,14.0,-49.0,-1.0,1.0070749723828907,,,Unknown
0.74,-0.69,-0.21,-33.14,7.45,-3.11,16.0,-47.0,-5.0,1.0333440859655605,,,Unknown
0.77,-0.71,-0.13,-70.98,-1.4,7.02,18.0,-48.0,-5.0,1.0554146104730595,,,Unknown
0.79,-0.76,-0.06,-89.17,-7.39,21.3,22.0,-49.0,2.0,1.0978615577567148,,,Unknown
0.83,-0.72,0.03,-62.26,-24.48,53.22,31.0,-51.0,8.0,1.0991815136727874,,,Unknown
0.87,-0.53,0.19,-37.66,-46.33,76.84,34.0,-50.0,14.0,1.0362914647916386,,,Unknown
0.83,-0.31,0.28,-18.31,-52.86,74.34,38.0,-48.0,12.0,0.9291931984253866,,,Unknown
