ax,ay,az,gx,gy,gz,mx,my,mz
0.34,0.14,0.89,21.00,-19.59,28.38,27.00,-28.00,10.00
0.30,0.17,0.96,3.42,-14.28,20.87,25.00,-31.00,16.00
0.27,0.18,0.94,7.81,-5.80,18.01,24.00,-28.00,12.00
0.25,0.16,0.92,8.30,-8.36,18.55,20.00,-36.00,14.00
0.24,0.13,0.95,17.94,-8.00,17.15,13.00,-39.00,13.00
0.23,0.10,1.03,12.21,-2.32,17.70,11.00,-43.00,19.00
0.21,0.10,1.01,14.10,3.36,19.17,6.00,-48.00,7.00
0.23,0.04,1.00,31.68,17.64,18.68,6.00,-49.00,-3.00
0.30,-0.02,1.02,33.69,30.21,22.89,5.00,-48.00,-10.00
0.34,-0.08,0.99,53.59,43.76,23.80,4.00,-48.00,-15.00
0.44,-0.11,1.00,50.96,56.58,20.02,4.00,-43.00,-15.00
0.55,-0.15,0.87,50.72,93.02,10.86,2.00,-52.00,-21.00
0.71,-0.24,0.68,18.13,94.85,5.80,2.00,-57.00,-22.00
0.80,-0.25,0.55,-3.54,94.73,0.06,0.00,-56.00,-28.00
0.87,-0.27,0.35,11.35,89.54,-17.70,2.00,-61.00,-25.00
0.91,-0.27,0.20,14.10,95.21,-18.68,1.00,-59.00,-34.00
0.90,-0.32,-0.06,-107.60,72.57,-10.74,1.00,-64.00,-36.00
0.89,-0.41,-0.21,-14.59,54.02,-19.47,0.00,-61.00,-26.00
0.88,-0.42,-0.22,-12.63,45.17,-12.82,1.00,-64.00,-24.00
0.82,-0.45,-0.34,-40.95,39.98,-10.01,1.00,-63.00,-15.00
0.81,-0.55,-0.38,-43.21,34.91,-2.69,5.00,-61.00,-14.00
0.80,-0.56,-0.37,-36.13,29.24,6.96,6.00,-63.00,-9.00
0.78,-0.50,-0.33,-28.20,27.40,5.13,10.00,-63.00,-5.00
0.75,-0.55,-0.40,-25.15,23.07,6.10,12.00,-60.00,-7.00
0.77,-0.56,-0.36,-34.73,9.70,5.55,15.00,-58.00,-8.00
0.79,-0.59,-0.31,-42.18,-0.55,7.02,15.00,-60.00,-3.00
0.80,-0.64,-0.31,-32.35,-8.06,14.47,20.00,-62.00,-7.00
0.83,-0.60,-0.22,-44.13,-10.44,21.85,21.00,-61.00,-3.00
0.85,-0.60,-0.23,-129.15,-27.40,39.25,24.00,-61.00,3.00
0.88,-0.68,-0.18,-206.48,-113.53,72.94,34.00,-61.00,6.00
0.95,-0.23,0.54,-145.20,-168.27,135.80,64.00,-41.00,17.00
0.64,0.14,-0.07,-83.07,-207.28,138.06,72.00,-23.00,1.00
0.13,0.67,1.25,24.96,-129.27,172.24,71.00,-5.00,-14.00
-1.14,0.15,0.99,56.03,141.78,61.04,63.00,-3.00,-23.00
-0.49,-0.00,0.79,59.27,94.79,-19.84,56.00,-12.00,-3.00
0.23,0.18,0.87,52.37,23.80,-51.09,57.00,-12.00,4.00
1.05,0.19,0.88,53.34,-7.63,-57.74,51.00,-10.00,5.00
1.27,-0.11,0.90,-22.77,14.10,6.41,51.00,-10.00,0.00
0.75,0.38,0.70,-20.94,16.05,41.02,58.00,-15.00,6.00
-0.38,0.04,0.69,-16.66,-33.75,-3.11,54.00,-17.00,1.00
-0.68,-0.06,1.63,-26.67,-24.78,13.31,52.00,-13.00,0.00
-0.27,0.03,0.80,2.08,-5.68,-17.64,53.00,-14.00,0.00
0.97,0.06,1.21,68.48,1.59,-58.59,57.00,-9.00,0.00
1.43,-0.10,0.93,-32.23,21.30,-9.64,57.00,-9.00,3.00
0.60,0.31,0.62,-21.55,-31.31,92.90,58.00,-12.00,5.00
-0.94,0.05,0.85,-10.93,-70.74,6.77,56.00,-12.00,0.00
-0.94,0.39,0.76,18.92,26.00,-9.22,52.00,-12.00,-9.00
0.25,0.33,0.65,35.71,-20.57,-51.88,57.00,-8.00,-1.00
1.52,-0.03,1.37,32.90,4.82,-50.42,56.00,-3.00,-4.00
1.03,-0.35,0.94,-43.09,29.54,75.87,60.00,-4.00,-5.00
-0.72,0.15,0.42,3.11,-30.58,31.56,54.00,-12.00,-5.00
-1.02,0.02,1.32,-21.30,10.25,-5.25,52.00,-10.00,-10.00
-0.07,-0.01,0.81,17.82,16.30,-25.88,59.00,-13.00,0.00
1.22,0.13,1.12,79.35,-27.28,-54.50,64.00,-6.00,0.00
1.20,-0.33,0.96,-35.64,25.51,35.34,61.00,-7.00,-5.00
-0.18,0.38,0.46,-4.64,10.99,37.90,61.00,-12.00,-5.00
-1.12,-0.23,1.22,41.32,-2.50,23.80,56.00,-12.00,-8.00
-0.51,-0.04,0.78,-8.36,5.62,-21.85,59.00,-10.00,-10.00
0.76,0.15,1.25,65.55,-62.74,-78.25,66.00,-9.00,-4.00
1.32,-0.16,1.68,-18.62,44.31,17.40,68.00,-1.00,-13.00
0.25,0.52,0.53,-35.46,39.37,82.52,68.00,-8.00,-5.00
-1.32,-0.03,0.96,26.12,-51.76,36.99,59.00,-10.00,-7.00
-0.89,0.01,0.74,-40.47,-2.99,-34.30,58.00,-8.00,-12.00
0.28,0.26,0.95,57.86,-47.12,-75.26,68.00,-3.00,-11.00
1.65,-0.18,2.03,-8.00,7.75,6.35,64.00,-4.00,-15.00
0.57,0.17,1.07,-32.47,67.63,110.66,65.00,-5.00,-13.00
-0.95,-0.25,0.54,20.26,-35.16,34.06,58.00,-8.00,-9.00
-1.03,0.08,1.01,-7.69,13.31,-14.89,55.00,-10.00,-12.00
-0.22,-0.05,0.66,46.14,2.81,-43.40,60.00,-10.00,-10.00
1.44,0.12,1.69,53.71,-52.67,-78.80,69.00,-5.00,-17.00
0.97,-0.00,0.84,-35.22,108.64,52.19,69.00,-2.00,-7.00
-0.15,0.54,0.09,-7.26,-1.89,36.32,64.00,-12.00,-5.00
-1.34,-0.25,1.37,59.39,-62.56,7.81,53.00,-13.00,-14.00
-0.66,-0.23,1.07,-58.90,18.55,-16.72,54.00,-12.00,-10.00
0.65,0.15,0.93,86.73,-30.88,-81.12,70.00,-2.00,-9.00
1.67,-0.22,2.02,-29.72,18.68,54.44,67.00,-4.00,-15.00
0.50,0.31,0.76,-15.87,88.62,102.36,70.00,-5.00,-3.00
-0.95,-0.28,0.37,38.39,-51.09,29.48,59.00,-15.00,-5.00
-0.93,0.00,0.99,-60.36,-19.35,-16.54,56.00,-11.00,-10.00
-0.33,0.16,0.74,27.83,-24.35,-43.76,61.00,-11.00,-17.00
1.50,0.18,2.05,134.83,27.89,-96.80,67.00,-2.00,-17.00
0.59,-0.07,1.21,38.51,95.03,153.14,64.00,-1.00,-2.00
0.02,-0.18,1.45,34.18,127.08,91.86,48.00,-19.00,10.00
-0.07,0.88,0.96,-654.30,-304.26,-36.93,42.00,-31.00,9.00
-0.31,0.88,-0.31,156.37,-205.32,118.41,71.00,-18.00,4.00
-0.54,1.27,1.71,-10.19,101.56,-21.67,55.00,-4.00,-8.00
0.29,-0.12,1.65,43.88,178.47,77.21,56.00,-6.00,-9.00
0.65,0.69,0.26,-181.09,95.09,-53.04,50.00,-20.00,8.00
0.56,0.71,1.41,54.26,-40.34,16.85,61.00,-22.00,14.00
