ax,ay,az,gx,gy,gz,mx,my,mz
0.24,0.56,0.75,3.23,-129.21,96.44,67.00,-22.00,8.00
0.13,0.55,0.94,55.36,-65.67,39.06,60.00,-8.00,-5.00
0.03,0.30,1.13,15.75,-27.16,-3.17,60.00,-10.00,-10.00
0.00,0.16,1.10,103.94,14.77,-16.60,55.00,-8.00,-15.00
0.01,-0.03,1.05,102.60,31.31,-43.82,52.00,-12.00,-10.00
0.06,-0.14,1.02,55.05,48.34,-45.65,62.00,-12.00,-10.00
0.17,-0.29,1.01,10.01,41.50,-19.84,50.00,-17.00,0.00
0.24,-0.21,0.86,-4.52,23.25,0.49,44.00,-12.00,0.00
0.26,-0.16,0.78,-14.47,-0.12,8.48,41.00,-9.00,-4.00
0.31,0.02,0.80,-45.29,-25.39,7.02,36.00,-4.00,-2.00
0.25,0.09,0.81,-40.89,-38.39,-5.31,44.00,-10.00,3.00
0.09,-0.07,0.88,13.31,-80.75,33.75,60.00,-10.00,-7.00
0.08,-0.14,1.29,37.35,-14.77,76.05,59.00,-5.00,-14.00
0.03,0.14,1.16,-80.38,7.87,19.59,51.00,-5.00,-17.00
-0.03,0.32,1.06,-73.24,-8.12,-21.06,54.00,-4.00,-16.00
0.05,0.21,0.97,21.42,-13.06,-6.65,52.00,-5.00,-16.00
0.10,-0.01,1.20,174.26,17.94,-25.02,53.00,-6.00,-11.00
0.07,-0.03,0.99,-23.62,11.96,-41.44,54.00,-6.00,-17.00
0.07,0.01,1.00,-1.53,4.52,-9.64,56.00,-7.00,-12.00
0.08,0.01,1.01,-0.61,0.98,-4.82,57.00,-7.00,-13.00
0.08,0.01,1.01,-0.73,0.61,-4.21,56.00,-9.00,-8.00
0.08,0.01,1.01,-0.98,0.61,-3.11,57.00,-7.00,-14.00
0.09,0.01,1.01,-0.67,0.49,-1.28,57.00,-8.00,-16.00
0.09,0.01,1.01,-0.85,0.37,-1.53,57.00,-7.00,-12.00
0.09,0.01,1.01,-0.55,0.37,-0.31,56.00,-9.00,-11.00
0.09,0.01,1.01,-0.49,0.31,-0.12,56.00,-6.00,-11.00
0.09,0.01,1.01,-0.49,0.31,-0.18,57.00,-8.00,-13.00
0.09,0.01,1.01,-0.43,0.31,-0.06,58.00,-8.00,-12.00
0.09,0.01,1.01,-0.61,0.24,-0.12,56.00,-8.00,-12.00
0.09,0.01,1.01,-0.49,0.24,-0.18,59.00,-5.00,-13.00
0.09,0.01,1.01,-0.43,0.18,0.00,58.00,-9.00,-14.00
0.09,0.01,1.01,-0.61,0.18,-0.06,58.00,-8.00,-10.00
0.09,0.01,1.01,-0.67,0.18,-0.06,58.00,-8.00,-15.00
0.09,0.01,1.01,-0.49,0.24,-0.12,56.00,-9.00,-9.00
0.09,0.01,1.01,-0.55,0.12,-0.06,58.00,-6.00,-13.00
