ax,ay,az,gx,gy,gz,mx,my,mz
-0.34,0.15,0.98,0.00,-284.67,32.78,55.00,-12.00,6.00
-1.03,0.19,1.16,-55.48,-320.01,76.17,54.00,-3.00,-23.00
-1.05,0.17,0.84,-1.34,-164.49,61.16,46.00,-15.00,-55.00
-1.05,0.24,0.63,0.85,29.48,10.99,42.00,-17.00,-58.00
-1.32,-0.19,1.07,32.65,411.19,44.92,45.00,-13.00,-55.00
-0.52,-0.12,0.89,-48.58,459.96,88.81,43.00,-8.00,-25.00
0.27,0.07,0.74,-32.47,381.90,55.73,41.00,-59.00,14.00
0.33,0.52,-0.26,-8.36,286.87,94.24,42.00,-87.00,-2.00
0.13,0.41,-0.94,-162.41,203.19,61.95,50.00,-97.00,-19.00
-0.07,0.33,-1.70,-28.50,39.18,-15.93,57.00,-98.00,-35.00
0.45,0.43,-1.39,77.76,-43.88,-22.09,57.00,-97.00,-36.00
0.09,0.41,-1.24,-40.47,-271.42,-2.38,55.00,-97.00,-22.00
0.40,-0.02,0.04,-24.35,-325.68,46.94,53.00,-85.00,-2.00
0.14,0.40,0.52,84.78,-255.92,36.68,53.00,-37.00,18.00
0.32,0.26,1.56,99.43,-5.00,-61.28,56.00,-24.00,11.00
1.19,-0.62,1.18,-43.40,142.58,-12.27,50.00,-32.00,13.00
1.14,-0.09,0.51,-124.27,50.96,121.22,53.00,-43.00,13.00
0.64,0.32,0.15,-33.39,-0.55,173.46,63.00,-47.00,19.00
0.31,0.70,0.30,38.51,6.16,138.79,60.00,-46.00,21.00
-0.06,0.82,0.55,22.03,1.95,80.26,57.00,-45.00,19.00
-0.20,1.00,0.78,-35.46,2.50,-11.05,56.00,-45.00,23.00
0.04,0.69,0.65,-4.64,23.56,-82.76,58.00,-44.00,14.00
0.37,0.41,0.25,-28.38,18.25,-126.89,62.00,-50.00,18.00
0.70,0.15,0.06,-18.43,-23.50,-148.32,60.00,-53.00,15.00
1.32,0.10,0.42,-22.58,-25.57,-130.49,63.00,-56.00,19.00
1.73,0.07,0.60,6.90,68.05,-167.11,65.00,-63.00,19.00
1.12,-0.20,-0.01,66.04,141.66,-107.67,53.00,-72.00,13.00
0.68,0.05,-0.35,11.35,75.20,-66.16,48.00,-79.00,4.00
0.43,-0.35,-0.13,-101.07,66.10,-84.72,40.00,-83.00,1.00
0.30,-1.02,-0.23,-23.38,-0.43,-32.41,36.00,-78.00,0.00
0.36,-1.38,-0.09,46.14,-50.78,119.57,38.00,-78.00,2.00
0.42,-0.42,0.02,37.90,-100.34,194.46,42.00,-78.00,4.00
0.55,0.32,0.01,8.30,-97.72,157.35,50.00,-72.00,8.00
0.81,0.62,0.21,-86.67,-34.18,-20.75,53.00,-64.00,16.00
2.05,-0.06,0.42,-27.59,0.73,-102.48,59.00,-65.00,20.00
1.54,-0.53,-0.02,-22.09,-7.75,186.58,57.00,-64.00,22.00
0.69,-0.09,0.03,-36.87,-36.50,220.95,60.00,-61.00,17.00
0.35,0.34,-0.03,86.06,0.49,165.28,59.00,-51.00,17.00
